Name,Description,DueDate,LengthInHours,Status
Oil change for the Honda,"Routine oil change. The car is at 65k miles now.",2023-03-21,1,Complete
1-on-1 with manager,"Bi-weekly check-in with Janet. Review the sprint velocity trends.",2023-03-24,1,Complete
Flea and tick treatment for Max,"Spring flea treatment. Apply the monthly dose and order refills.",2023-03-28,0.25,Complete
Pay mortgage,"April mortgage payment.",2023-04-01,0.25,Complete
Marathon training run - 10 miles,"Long run day. New route through the state park.",2023-04-09,2,Complete
Wash and detail the car,"Spring car wash and interior detail. Winter salt damage needs addressing.",2023-04-14,0.5,Complete
Schedule meeting with financial advisor,"Annual meeting with Greg. Review the 529 plan performance.",2023-04-18,0.5,Complete
Attend PTA meeting,"PTA meeting. Spring field trip chaperone sign-ups.",2023-04-20,1.5,Complete
Pick up prescription refills,"Blood pressure meds ready at Walgreens. Also pick up the kids' vitamins.",2023-04-22,0.5,Complete
Update the home Wi-Fi password,"Quarterly Wi-Fi password change. Too many devices connected.",2023-05-05,0.25,Complete
Review 401k contributions,"Mid-year 401k check. Increase contribution by 2% if possible.",2023-05-09,0.5,Complete
Property tax payment,"Semi-annual property tax payment. Due by end of month.",2023-05-15,0.5,Complete
Set up kids' bikes for spring,"Get the bikes ready. Jake's needs training wheels removed finally.",2023-05-18,1,Complete
Stock up on pantry staples,"Big Costco run before the vacation. Get snacks for the road trip too.",2023-05-20,1.5,Complete
Dermatology checkup,"Six-month follow-up with Dr. Lee. The mole biopsy results were clear.",2023-05-22,1,Complete
Install new light fixtures in hallway,"Install the new flush mount fixtures. The old ones are dated.",2023-05-28,2,Complete
Power wash the driveway,"Rent a power washer. The driveway has winter grime and moss.",2023-06-02,2.5,Complete
Deep clean the kitchen,"Saturday deep clean. Focus on the fridge and the area behind the stove.",2023-06-10,3,Complete
Family reunion planning call,"Finalize the reunion details. Aunt Patty is handling the venue.",2023-06-13,1,Complete
Organize garage,"Major garage organization project. Install pegboard and new shelving.",2023-06-17,6,Complete
Buy new winter coat,"End of season sale at REI. Get a good deal on next winter's coat.",2023-06-20,1.5,Complete
Paint bedroom accent wall,"Finally painting the accent wall. Ordered the sage green paint.",2023-06-22,4,Complete
Finish reading for book club,"Need to finish the June book club pick before Thursday.",2023-06-25,2,Complete
Pay mortgage,"July mortgage payment.",2023-07-01,0.25,Complete
Replace smoke detector batteries,"Two smoke detectors are beeping. Replace all to be safe.",2023-07-05,0.5,Complete
Fix leaky faucet in bathroom,"Guest bathroom faucet is dripping. YouTube tutorial says it's easy.",2023-07-09,1,Complete
Coach Jake's basketball practice,"Summer basketball camp coaching. Focus on teamwork drills.",2023-07-12,1.5,Complete
Order birthday gift for Mom,"Mom's half-birthday tradition. She loves getting flowers mid-year.",2023-07-16,0.5,Complete
Renew homeowner's insurance,"Homeowner's insurance renewal. Compare quotes before auto-renewing.",2023-07-18,1,Complete
Date night at Olive Garden,"Date night at OG. The never-ending pasta bowl promo is back.",2023-07-22,2.5,Complete
Grocery run for the week,"Weekly grocery run. Lots of fresh produce for the summer recipes.",2023-07-25,1.5,Complete
File quarterly estimated taxes,"Q3 estimated taxes due. Freelance income bumped up this quarter.",2023-07-30,1,Complete
Attend neighborhood HOA meeting,"Summer HOA meeting. Pool rules and parking enforcement on the agenda.",2023-08-02,1.5,Complete
Water heater inspection,"Annual water heater maintenance. Flush the tank and check the anode rod.",2023-08-05,1,Complete
Return library books,"Library books are due. Also check if the kids' summer reading holds are in.",2023-08-08,0.5,Complete
Schedule roof inspection,"A few shingles look loose after the summer storms. Get it inspected.",2023-08-12,0.5,Complete
Caulk around windows,"Recaulk the bathroom window. Moisture is getting in around the frame.",2023-08-15,1.5,Complete
Visit grandparents,"End of summer visit to the grandparents. Bring the summer vacation photos.",2023-08-20,5,Complete
Cancel unused subscriptions,"Quarterly subscription review. Found two more to cancel.",2023-08-23,0.5,Complete
Lawn mower maintenance,"Season-end mower maintenance. Oil change, blade sharpening, and winterize.",2023-08-27,2,Complete
Batch cook meals for the week,"Back to school meal prep. Easy lunches for the kids' first week.",2023-09-03,3,Complete
Sprint retrospective,"Sprint retro. The database migration went smoother than expected.",2023-09-06,1,Complete
Pick up dry cleaning,"Grab the fall jackets and Rachel's blazer from the cleaners.",2023-09-09,0.5,Complete
Pay electric bill,"September electric bill. AC costs dropping as it cools down.",2023-09-12,0.25,Complete
Coffee catch-up with Lisa,"Coffee with Lisa at the new place on Oak Street. She's training for a triathlon.",2023-09-15,1.5,Complete
Flea and tick treatment for Max,"Monthly flea treatment. Fall is still active season for ticks.",2023-09-18,0.25,Complete
Grocery run for the week,"Weekly grocery run. Fall recipes starting: soups and stews.",2023-09-22,1.5,Complete
Review investment portfolio,"Quarterly investment review. Bonds allocation needs attention.",2023-09-25,2,Complete
Renew car insurance,"Car insurance renewal. Happy with Geico so just renew at the same rate.",2023-09-28,1,Complete
Pay mortgage,"October mortgage payment.",2023-10-01,0.25,Complete
Lawn mower maintenance,"Clean and store the mower for winter. Drain the gas tank.",2023-10-05,2,Complete
Schedule chimney inspection,"Annual chimney sweep before fireplace season. Call Acme Chimney.",2023-10-09,0.25,Complete
Wash and detail the car,"Fall car detail before the weather turns. Focus on wax coating.",2023-10-13,0.5,Complete
Coach Jake's basketball practice,"Fall basketball practice. Getting ready for the winter league tryouts.",2023-10-17,1.5,Complete
Pick up prescription refills,"Refill blood pressure meds. Also get the flu medicine prescription.",2023-10-20,0.5,Complete
Pay mortgage,"November mortgage payment.",2023-11-01,0.25,Complete
Pizza night with kids,"Friday pizza night. Trying cauliflower crust this time for variety.",2023-11-10,2,Complete
Replace kitchen faucet,"Kitchen faucet replacement. The sprayer hose is leaking now too.",2023-11-17,2,Complete
Pay electric bill,"November electric bill. Heating season is here.",2023-11-20,0.25,Complete
Property tax payment,"Semi-annual property tax. Due before end of November.",2023-11-25,0.5,Complete
Grocery run for the week,"Thanksgiving shopping list. Everything for the feast plus regular supplies.",2023-11-19,1.5,Complete
File quarterly estimated taxes,"Q4 estimated taxes. Last payment of the year.",2023-12-15,1,Complete
Backup computer files,"Year-end backup. Archive 2023 files to the external drive.",2023-12-17,1,Complete
Donate old clothes to Goodwill,"End of year donation. Get the receipt for tax deductions.",2023-12-24,1,Complete
Stock up on pantry staples,"Post-Christmas pantry restock at Costco.",2023-12-26,1.5,Complete
Property tax payment,"Semi-annual property tax due in January. Pay early to clear it.",2024-01-06,0.5,Complete
Pay electric bill,"January electric bill. The coldest month of the year.",2024-01-12,0.25,Complete
Visit grandparents,"New Year's visit. Grandpa wants to show off his new workshop.",2024-01-14,5,Complete
Pick up dry cleaning,"Pick up the New Year's party outfits from the cleaners.",2024-01-18,0.5,Complete
Sprint retrospective,"Q4 final sprint retro. Big platform launch was a success.",2024-01-21,1,Complete
Family reunion planning call,"Start planning this year's reunion. New venue suggestions needed.",2024-01-25,1,Complete
Flea and tick treatment for Max,"Even in winter, keep up with the treatment. Vet recommended year-round.",2024-01-30,0.25,Complete
Pay mortgage,"February mortgage payment.",2024-02-01,0.25,Complete
Lawn mower maintenance,"Pre-season mower maintenance. Change oil, replace spark plug, sharpen blade.",2024-02-08,2,Complete
Stock up on pantry staples,"Monthly Costco run for bulk items.",2024-02-12,1.5,Complete
Batch cook meals for the week,"Sunday meal prep. Valentine's week so keep meals simple.",2024-02-09,3,Complete
Schedule roof inspection,"Roof inspection follow-up from the hail damage claim.",2024-02-15,0.5,Complete
Pick up prescription refills,"Monthly prescription pickup at CVS.",2024-02-19,0.5,Complete
Coach Jake's basketball practice,"Winter league practice. Working on defensive positioning.",2024-02-22,1.5,Complete
Review 401k contributions,"Annual max-out check for the 401k. On track so far.",2024-02-25,0.5,Complete
File quarterly estimated taxes,"Q1 estimated tax payment. New freelance rate changes the calculation.",2024-03-15,1,Complete
Pay electric bill,"March electric bill. Heating costs finally dropping.",2024-03-10,0.25,Complete
Grocery run for the week,"Weekly grocery run. Lots of fresh citrus this time of year.",2024-03-15,1.5,Complete
Sprint retrospective,"Sprint retro. Deployed two major features without issues.",2024-03-18,1,Complete
Visit grandparents,"Spring visit. Help Grandpa plant his vegetable garden.",2024-03-30,5,Complete
Oil change for the Honda,"Oil change at the dealership. Free tire rotation with service.",2024-04-05,1,Complete
Lawn mower maintenance,"First mow of the season prep. Check everything before the first cut.",2024-04-08,2,Complete
Wash and detail the car,"Spring car cleaning. Wash off all the winter road salt.",2024-04-10,0.5,Complete
Pay mortgage,"April mortgage payment.",2024-04-01,0.25,Complete
Pick up dry cleaning,"Spring wardrobe pieces from the cleaners.",2024-04-19,0.5,Complete
Renew homeowner's insurance,"Annual homeowner's insurance review. Update the home value estimate.",2024-04-21,1,Complete
Stock up on pantry staples,"Monthly Costco trip. Big BBQ season haul coming soon.",2024-04-25,1.5,Complete
Pay mortgage,"May mortgage payment.",2024-05-01,0.25,Complete
Flea and tick treatment for Max,"Monthly flea and tick treatment. Outdoor season is starting.",2024-05-10,0.25,Complete
Grocery run for the week,"Weekly grocery run. Getting ingredients for the birthday party food.",2024-05-04,1.5,Complete
Coffee catch-up with Lisa,"Coffee with Lisa. Celebrating her new promotion.",2024-05-18,1.5,Complete
Sprint retrospective,"Sprint retro. Discuss the load testing results from the staging push.",2024-05-20,1,Complete
Coach Jake's basketball practice,"Summer league tryouts prep. Extra practice session this week.",2024-05-25,1.5,Complete
Lawn mower maintenance,"Mid-season blade sharpening. The grass is thick this year.",2024-05-30,2,Complete
Pay mortgage,"June mortgage payment.",2024-06-01,0.25,Complete
Property tax payment,"Semi-annual property tax payment. Check the updated assessment value.",2024-06-05,0.5,Complete
Deep clean the kitchen,"Pre-party deep clean. Getting the house ready for the anniversary dinner.",2024-06-10,3,Complete
Visit grandparents,"Summer visit with the whole family. BBQ at Grandpa's.",2024-06-15,5,Complete
Update the home Wi-Fi password,"Change the password. Too many smart home devices are connected.",2024-06-20,0.25,Complete
Replace smoke detector batteries,"Annual battery replacement. Also test the carbon monoxide detectors.",2024-06-24,0.5,Complete
Pay electric bill,"June electric bill. AC usage is climbing.",2024-06-25,0.25,Complete
Finish reading for book club,"Need to finish the thriller before Wednesday's meeting.",2024-06-27,2,Complete
Pay mortgage,"July mortgage payment.",2024-07-01,0.25,Complete
Grocery run for the week,"4th of July shopping plus regular weekly groceries.",2024-07-01,1.5,Complete
Schedule kids' dental cleanings,"Summer cleaning appointments. Try to get them done before school starts.",2024-07-09,0.25,Complete
Renew homeowner's insurance,"Homeowner's insurance mid-year review. Add the new shed to the policy.",2024-07-11,1,Complete
Batch cook meals for the week,"Summer meal prep. Cold salads and grilled proteins for the heat.",2024-07-14,3,Complete
Pizza night with kids,"Outdoor pizza night using the grill pizza stone. Kids love it.",2024-07-18,2,Complete
Pick up prescription refills,"Summer prescription refills. Also get sunscreen from the pharmacy.",2024-07-20,0.5,Complete
Review investment portfolio,"Mid-year investment checkup. Market is doing well, stay the course.",2024-07-23,2,Complete
Flea and tick treatment for Max,"Monthly treatment. Max has been spending a lot of time in the tall grass.",2024-07-26,0.25,Complete
Schedule chimney inspection,"Schedule the fall chimney inspection early before the busy season.",2024-07-29,0.25,Complete
Pay mortgage,"August mortgage payment.",2024-08-01,0.25,Complete
Dermatology checkup,"Summer skin check. New mole appeared on the forearm.",2024-08-07,1,Complete
Replace windshield wipers,"Summer storm season destroyed the wipers. Replace both pairs.",2024-08-12,0.25,Complete
Organize garage,"End-of-summer garage cleanup. Sort through the camping gear.",2024-08-17,6,Complete
Grocery run for the week,"Back to school weekly groceries. Stock up on lunch box snacks.",2024-08-18,1.5,Complete
Pay electric bill,"August electric bill. Peak summer AC usage.",2024-08-20,0.25,Complete
File quarterly estimated taxes,"Q3 estimated taxes. The freelance income was strong this quarter.",2024-08-25,1,Complete
Sprint retrospective,"Sprint retro. Discuss the hotfix deployment and lessons learned.",2024-08-28,1,Complete
Pay mortgage,"September mortgage payment.",2024-09-01,0.25,Complete
Batch cook meals for the week,"Fall meal prep kickoff. Chili, soups, and casseroles for the week.",2024-09-07,3,Complete
Pick up dry cleaning,"Fall clothes from the cleaners. Plus the tablecloth for the dinner party.",2024-09-10,0.5,Complete
Grocery run for the week,"Weekly groceries. Fall produce is looking great at the farmers market.",2024-09-14,1.5,Complete
Coffee catch-up with Lisa,"Coffee catch-up. Lisa wants advice on a career change.",2024-09-17,1.5,Complete
Update the home Wi-Fi password,"Quarterly password rotation. Also update the smart home devices.",2024-09-20,0.25,Complete
Pay electric bill,"September electric bill. Cooling down, usage should drop.",2024-09-25,0.25,Complete
Flea and tick treatment for Max,"Monthly treatment. The vet said to continue through November.",2024-09-28,0.25,Complete
Lawn mower maintenance,"End of season mower storage. Clean, drain fuel, and cover.",2024-10-02,2,Complete
Grocery run for the week,"Weekly grocery run. Pumpkin everything season has arrived.",2024-10-06,1.5,Complete
Sprint retrospective,"Sprint retro. The platform migration sprint was tough but complete.",2024-10-09,1,Complete
Visit grandparents,"Fall visit. Help Grandma with the garden winterization.",2024-10-12,5,Complete
Wash and detail the car,"Fall detail. Get the interior cleaned before winter.",2024-10-15,0.5,Complete
Pay mortgage,"October mortgage payment.",2024-10-01,0.25,Complete
Pay electric bill,"October electric bill. Mild month so costs are down.",2024-10-22,0.25,Complete
Pick up prescription refills,"Monthly prescription pickup. Also ask about the new generic option.",2024-10-24,0.5,Complete
Stock up on pantry staples,"Big fall Costco haul. Thanksgiving prep starts early this year.",2024-10-27,1.5,Complete
Pay mortgage,"November mortgage payment.",2024-11-01,0.25,Complete
Batch cook meals for the week,"Pre-Thanksgiving meal prep. Make easy freezer meals for the busy week.",2024-11-02,3,Complete
Kids' soccer game,"Fall soccer playoffs. Emma's team made the semifinals!",2024-11-08,2,Complete
Grocery run for the week,"Weekly groceries plus Thanksgiving shopping list part one.",2024-11-10,1.5,Complete
Organize garage,"Quick garage tidy before winter. Make room for snow equipment.",2024-11-12,6,Complete
Renew car insurance,"Fall car insurance renewal. Same carrier, same plan.",2024-11-15,1,Complete
Review investment portfolio,"Pre-holiday investment review. Check tax loss harvesting opportunities.",2024-11-17,2,Complete
Schedule roof inspection,"Pre-winter roof inspection. The gutter crew noticed some loose flashing.",2024-11-19,0.5,Complete
Pay electric bill,"November electric bill. First month with the heat on full time.",2024-11-22,0.25,Complete
Visit grandparents,"Thanksgiving Eve visit. Drop off pies and spend the evening.",2024-11-26,5,Complete
Flea and tick treatment for Max,"November flea treatment. The vet said one more month then winter break.",2024-11-28,0.25,Complete
Grocery run for the week,"Post-Thanksgiving grocery reset. The fridge is empty after the feast.",2024-12-01,1.5,Complete
Property tax payment,"Semi-annual property tax due before year-end.",2024-12-05,0.5,Complete
Replace smoke detector batteries,"Pre-holiday battery swap. Also check the fire extinguisher date.",2024-12-07,0.5,Complete
Sprint retrospective,"Final sprint retro of the year. Celebrate the team's accomplishments.",2024-12-10,1,Complete
Pay electric bill,"December electric bill. Holiday lights adding to the total.",2024-12-14,0.25,Complete
Finish reading for book club,"December book club pick. A holiday-themed cozy mystery.",2024-12-17,2,Complete
Pick up prescription refills,"Year-end prescription refills before the insurance resets.",2024-12-22,0.5,Complete
File quarterly estimated taxes,"Q4 estimated taxes. Last payment of the year.",2024-12-27,1,Complete
Grocery run for the week,"New Year's Eve grocery run. Fondue ingredients and party snacks.",2024-12-29,1.5,Complete
Pay electric bill,"February electric bill. Heating season is winding down slightly.",2025-02-05,0.25,Complete
Grocery run for the week,"Weekly grocery run. Super Bowl party prep.",2025-02-07,1.5,Complete
Sprint retrospective,"Sprint retro. Good start to Q1 with the new team structure.",2025-02-10,1,Complete
Pick up dry cleaning,"Pick up Rachel's dress for the Valentine's dinner.",2025-02-12,0.5,Complete
Pay mortgage,"February mortgage payment.",2025-02-01,0.25,Complete
Property tax payment,"Semi-annual property tax. Increased slightly from reassessment.",2025-02-14,0.5,Complete
Visit grandparents,"Weekend visit. Grandma's 80th birthday party at the house.",2025-02-16,5,Complete
Batch cook meals for the week,"Weekly meal prep. Trying Mediterranean recipes this month.",2025-02-23,3,Complete
Replace windshield wipers,"Ice storms destroyed the wipers. Emergency replacement needed.",2025-02-26,0.25,Complete
Pay mortgage,"March mortgage payment.",2025-03-01,0.25,Complete
Flea and tick treatment for Max,"Spring flea season starting. Apply treatment and reorder supply.",2025-03-03,0.25,Complete
Grocery run for the week,"Weekly grocery trip. Stocking up before spring break.",2025-03-06,1.5,Complete
Oil change for the Honda,"Oil change plus tire rotation at Jiffy Lube.",2025-03-12,1,Complete
1-on-1 with manager,"Check-in with Janet. Discuss the new project assignments.",2025-03-15,1,Complete
Pick up prescription refills,"Refills ready at Walgreens. Also need to pick up allergy meds.",2025-03-18,0.5,Complete
Sprint retrospective,"March sprint retro. The customer portal MVP is on track.",2025-03-22,1,Complete
Schedule chimney inspection,"Schedule spring chimney sweep. Need to check the damper.",2025-03-26,0.25,Complete
Pay electric bill,"March electric bill. Transition from heating to cooling.",2025-03-30,0.25,Complete
Pay mortgage,"April mortgage payment.",2025-04-01,0.25,Complete
Property tax payment,"Spring property tax payment due by April 30.",2025-04-05,0.5,Complete
File quarterly estimated taxes,"Q1 estimated tax payment. Calculate the new rate.",2025-04-08,1,Complete
Wash and detail the car,"Spring car wash. Salt damage from the winter roads.",2025-04-11,0.5,Complete
Organize garage,"Spring garage cleanup. Donate the items from the winter purge.",2025-04-13,6,Complete
Batch cook meals for the week,"Easter week meal prep. Keep it simple with the big brunch planned.",2025-04-12,3,Complete
Pay electric bill,"April electric bill. Nice shoulder season costs.",2025-04-20,0.25,Complete
Pick up dry cleaning,"Spring wardrobe pieces from the cleaners.",2025-04-22,0.5,Complete
Visit grandparents,"Spring visit. Help Grandpa with the garden planting.",2025-04-27,5,Complete
Replace smoke detector batteries,"Time for new batteries. The one in the hallway is beeping again.",2025-04-29,0.5,Complete
Pay mortgage,"May mortgage payment.",2025-05-01,0.25,Complete
Grocery run for the week,"Weekly grocery run. Getting pool party supplies for Emma's birthday.",2025-05-03,1.5,Complete
1-on-1 with manager,"Check-in with Janet about the senior lead timeline.",2025-05-08,1,Complete
Pay electric bill,"May electric bill. AC is starting to kick in.",2025-05-12,0.25,Complete
Pick up prescription refills,"Monthly prescriptions. The pharmacy switched to a new generic brand.",2025-05-15,0.5,Complete
Sprint retrospective,"Sprint retro. The portal beta launch metrics look promising.",2025-05-19,1,Complete
Lawn mower maintenance,"Mid-season blade sharpening. Also replace the air filter.",2025-05-22,2,Complete
Flea and tick treatment for Max,"Monthly treatment. The ticks are bad this year according to the vet.",2025-05-27,0.25,Complete
Stock up on pantry staples,"Summer Costco haul. Pool snacks and bulk drinks.",2025-05-30,1.5,Complete
Pay mortgage,"June mortgage payment.",2025-06-01,0.25,Complete
Grocery run for the week,"Weekly grocery run. BBQ season ingredients.",2025-06-07,1.5,Complete
Property tax payment,"Semi-annual property tax. Paid through the county portal.",2025-06-09,0.5,Complete
Sprint retrospective,"Sprint retro. Preparing for the v4 launch next month.",2025-06-11,1,Complete
Pay electric bill,"June electric bill. AC costs climbing in the heat.",2025-06-16,0.25,Complete
Schedule chimney inspection,"Pre-winter chimney inspection booking. They fill up fast in fall.",2025-06-19,0.25,Complete
1-on-1 with manager,"Mid-year check-in with Janet. Discuss the v4 launch timeline.",2025-06-23,1,Complete
Pick up prescription refills,"Summer prescription refills. Stock up before vacation.",2025-06-27,0.5,Complete
Flea and tick treatment for Max,"Monthly treatment. Max is spending lots of time outdoors.",2025-06-28,0.25,Complete
Pay mortgage,"July mortgage payment.",2025-07-01,0.25,Complete
Grocery run for the week,"4th of July BBQ shopping and regular groceries.",2025-07-01,1.5,Complete
File quarterly estimated taxes,"Q3 estimated tax payment.",2025-07-15,1,Complete
Pay electric bill,"July electric bill. Hottest month on record, AC running constantly.",2025-07-18,0.25,Complete
Kids' soccer game,"Summer league playoff game. Emma's team is undefeated!",2025-07-20,2,Complete
Sprint retrospective,"Sprint retro. v4 launch prep is 95% complete.",2025-07-21,1,Complete
Batch cook meals for the week,"Summer meal prep. Cold salads and wraps for the hot weather.",2025-07-27,3,Complete
Flea and tick treatment for Max,"Monthly flea and tick. Max rolled in something suspicious at the dog park.",2025-07-30,0.25,Complete
Grocery run for the week,"Weekly grocery run. Beach trip supplies for next week.",2025-08-03,1.5,Complete
Lawn mower maintenance,"Clean the mower deck. Grass buildup is reducing performance.",2025-08-07,2,Complete
1-on-1 with manager,"Check-in with Janet. Post-v4-launch debrief.",2025-08-10,1,Complete
Pick up prescription refills,"Monthly prescriptions. Add sunscreen to the order.",2025-08-12,0.5,Complete
Pay electric bill,"August electric bill. Last big AC month hopefully.",2025-08-15,0.25,Complete
Sprint retrospective,"Sprint retro. v4 post-launch bug fixes were handled quickly.",2025-08-20,1,Complete
Property tax payment,"Summer property tax. Pay through the online portal.",2025-08-23,0.5,Complete
Flea and tick treatment for Max,"Monthly treatment. Continue through October per vet advice.",2025-08-26,0.25,Complete
Stock up on pantry staples,"Back to school Costco run. Lunch supplies and breakfast items.",2025-08-28,1.5,Complete
Pay mortgage,"September mortgage payment.",2025-09-01,0.25,Complete
Grocery run for the week,"Weekly groceries. Fall produce is starting to appear.",2025-09-06,1.5,Complete
Sprint retrospective,"Sprint retro. Q4 push is starting strong.",2025-09-10,1,Complete
1-on-1 with manager,"Check-in with Janet. Discuss the Q4 product roadmap.",2025-09-14,1,Complete
Pay electric bill,"September electric bill. AC use is dropping nicely.",2025-09-17,0.25,Complete
Lawn mower maintenance,"Fall season mower prep. A few more weeks of mowing left.",2025-09-19,2,Complete
Pick up prescription refills,"Monthly prescriptions ready at Walgreens.",2025-09-23,0.5,Complete
Flea and tick treatment for Max,"Monthly treatment. Getting close to the end of flea season.",2025-09-26,0.25,Complete
Pay mortgage,"October mortgage payment.",2025-10-01,0.25,Complete
Batch cook meals for the week,"Fall meal prep. Hearty soups and stews for the cooler weather.",2025-10-05,3,Complete
File quarterly estimated taxes,"Q4 estimated tax payment. Last one of the year.",2025-10-15,1,Complete
Grocery run for the week,"Weekly grocery run. Fall baking ingredients.",2025-10-17,1.5,Complete
Sprint retrospective,"Sprint retro. Customer portal metrics are exceeding targets.",2025-10-21,1,Complete
Visit grandparents,"Fall visit. Help with leaf cleanup and enjoy Grandma's apple pie.",2025-10-24,5,Complete
Flea and tick treatment for Max,"Last flea treatment of the season. Resume in March.",2025-10-28,0.25,Complete
Pay mortgage,"November mortgage payment.",2025-11-01,0.25,Complete
Grocery run for the week,"Weekly groceries. Start stocking up for Thanksgiving.",2025-11-04,1.5,Complete
1-on-1 with manager,"Check-in with Janet. Year-end review prep discussion.",2025-11-06,1,Complete
Pay electric bill,"November electric bill. Heating season begins.",2025-11-10,0.25,Complete
Property tax payment,"Semi-annual property tax. Due before Thanksgiving.",2025-11-13,0.5,Complete
Pick up prescription refills,"Pre-holiday prescription refills. Get the flu meds just in case.",2025-11-16,0.5,Complete
Wash and detail the car,"Pre-winter car detail. Apply wax before the salt season.",2025-11-18,0.5,Complete
Review 401k contributions,"Year-end 401k max-out check. A few more pay periods to contribute.",2025-11-20,0.5,Complete
Grocery run for the week,"Thanksgiving week grocery run. The big list.",2025-11-23,1.5,Complete
Batch cook meals for the week,"Post-Thanksgiving meal prep. Use up all the leftovers creatively.",2025-11-30,3,Complete
Grocery run for the week,"December grocery run. Holiday baking supplies.",2025-12-06,1.5,Complete
Schedule meeting with financial advisor,"Year-end meeting with Greg. Tax strategy and Roth conversion discussion.",2025-12-07,0.5,Complete
Pay electric bill,"December electric bill. Holiday lights are festive but costly.",2025-12-09,0.25,Complete
Pick up dry cleaning,"Holiday party outfits from the cleaners.",2025-12-11,0.5,Complete
Visit grandparents,"Pre-Christmas visit. Drop off gifts and spend the afternoon.",2025-12-14,5,Complete
1-on-1 with manager,"Final check-in of the year with Janet. Set Q1 2026 expectations.",2025-12-17,1,Complete
Review investment portfolio,"Year-end portfolio review. Plan the January rebalancing.",2025-12-20,2,Complete
Pick up prescription refills,"Year-end prescriptions before the insurance deductible resets.",2025-12-21,0.5,Complete
Pay electric bill,"December electric bill. Final utility bill of the year.",2025-12-28,0.25,Complete
Pay credit card bill,"December credit card. Holiday spending wrapped up.",2025-12-30,0.25,Complete
Sprint retrospective,"First sprint retro of 2026. Set the tone for the year.",2026-01-09,1,Complete
Flea and tick treatment for Max,"Winter break from flea meds. Resume in March per vet.",2026-01-10,0.25,Complete
Visit grandparents,"New Year's weekend visit. Bring the holiday photo prints.",2026-01-11,5,Complete
Property tax payment,"First property tax payment of 2026.",2026-01-15,0.5,Complete
Pick up dry cleaning,"Winter coats and sweaters from the cleaners.",2026-01-19,0.5,Complete
Oil change for the Honda,"Start of year oil change. Car is running well at 88k miles.",2026-01-21,1,Complete
Grocery run for the week,"Weekly grocery run. Healthy eating resolution in full effect.",2026-01-24,1.5,Complete
Batch cook meals for the week,"January meal prep. Lean proteins and lots of vegetables.",2026-01-25,3,Complete
Pay mortgage,"February mortgage payment.",2026-02-01,0.25,Complete
Replace smoke detector batteries,"All smoke detectors due for fresh batteries.",2026-02-05,0.5,Complete
Pay credit card bill,"February credit card. New year spending is minimal.",2026-02-06,0.25,Complete
Sprint retrospective,"February sprint retro. Customer portal enhancements on track.",2026-02-09,1,Complete
Pick up prescription refills,"Monthly prescription pickup at Walgreens.",2026-02-10,0.5,Complete
Wash and detail the car,"Wash off the winter salt before it does more damage.",2026-02-15,0.5,Complete
Schedule roof inspection,"Spring roof inspection. The shingles took a beating this winter.",2022-02-20,0.5,Complete
Renew library card,"Library card expiring soon. Need to bring proof of address to renew.",2022-03-15,0.5,Complete
Cousin Tyler's wedding RSVP,"Wedding is in June. RSVP with the chicken option.",2022-04-02,0.25,Complete
Volunteer at food bank,"Saturday morning food bank shift at First Baptist Church.",2022-04-09,3,Complete
Recycle old electronics,"Drop off the old printer and router at Best Buy e-waste recycling.",2022-04-14,1,Complete
Photo album project,"Sort through the 2021 photos and order prints for the physical album.",2022-05-15,3,Complete
Order new running shoes,"Running shoes need replacing. Over 400 miles on the current pair.",2022-05-22,0.5,Complete
Research summer vacation options,"Compare Myrtle Beach vs Outer Banks for the family trip.",2022-05-28,1,Complete
Finish reading for book club,"Only three chapters left. Book club meeting is tomorrow night.",2022-06-07,2,Complete
Replace smoke detector batteries,"Annual battery check. The upstairs hallway one is chirping.",2022-06-12,0.5,Complete
Coffee catch-up with Lisa,"Haven't seen Lisa in months. Catch up at Blue Bottle on Saturday.",2022-06-19,1.5,Complete
Organize garage,"Summer garage organization project. Clear out space for the new tools.",2022-06-26,6,Complete
Renew homeowner's insurance,"Annual homeowner's insurance review and renewal.",2022-07-02,1,Complete
Batch cook meals for the week,"Summer meal prep. Light salads and grilled chicken.",2022-07-10,3,Complete
Install new light fixtures in hallway,"Replace the dated hallway fixtures with the new ones from Amazon.",2022-07-17,2,Complete
Power wash the driveway,"Borrow Dave's power washer and clean the driveway and sidewalk.",2022-07-24,2.5,Complete
Paint bedroom accent wall,"Accent wall project. Going with the dark blue paint we picked.",2022-08-06,4,Complete
Review investment portfolio,"Mid-year portfolio check. Tech stocks are volatile.",2022-08-09,2,Complete
Deep clean the kitchen,"End of summer deep kitchen clean. Scrub the grout and degrease everything.",2022-08-14,3,Complete
Lawn mower maintenance,"Mower needs the blade sharpened before the fall push.",2022-08-21,2,Complete
Water heater inspection,"Annual water heater flush. Prevent sediment buildup.",2022-09-03,1,Complete
Schedule roof inspection,"Roof check after the hailstorm last month. Need photos for insurance.",2022-09-09,0.5,Complete
Call pest control about ants,"Ants in the kitchen again. Call Terminix for a treatment.",2022-09-18,0.25,Complete
Assemble kids' new bookshelf,"The new bookshelf arrived for Emma's room. Allen wrenches are in the drawer.",2022-09-24,2,Complete
Renew car insurance,"Fall car insurance renewal. Get quotes from Progressive and State Farm.",2022-09-29,1,Complete
